object_type,action_type,trial,eta_initial,eta_final,eta_change
box,static,0,0.1040073111653328,0.11402279883623123,0.010015487670898438
box,static,1,0.10466895252466202,0.11469001322984695,0.010021060705184937
box,static,2,0.10328056663274765,0.11341995000839233,0.010139383375644684
box,static,3,0.10667684674263,0.11540335416793823,0.008726507425308228
box,static,4,0.1056385412812233,0.11496111005544662,0.009322568774223328
box,push,0,0.015833726152777672,0.01707771234214306,0.001243986189365387
box,push,1,0.017305396497249603,0.01632990501821041,-0.0009754914790391922
box,push,2,0.016383791342377663,0.016096770763397217,-0.00028702057898044586
box,push,3,0.015708230435848236,0.016222162172198296,0.0005139317363500595
box,push,4,0.016933098435401917,0.01633022353053093,-0.0006028749048709869
box,pull,0,0.015572932548820972,0.014615380205214024,-0.0009575523436069489
box,pull,1,0.016330329701304436,0.014854119159281254,-0.001476210542023182
box,pull,2,0.014592449180781841,0.014069460332393646,-0.000522988848388195
box,pull,3,0.016340408474206924,0.015049837529659271,-0.0012905709445476532
box,pull,4,0.015119562856853008,0.014371073804795742,-0.0007484890520572662
box,lift,0,0.02064717747271061,0.02030913718044758,-0.000338040292263031
box,lift,1,0.0216060858219862,0.021424608305096626,-0.00018147751688957214
box,lift,2,0.02048809826374054,0.019820116460323334,-0.0006679818034172058
box,lift,3,0.021174520254135132,0.019420629367232323,-0.0017538908869028091
box,lift,4,0.0210662130266428,0.020021822303533554,-0.0010443907231092453
box,topple,0,0.015600810758769512,0.013221699744462967,-0.0023791110143065453
box,topple,1,0.01543337106704712,0.013170464895665646,-0.0022629061713814735
box,topple,2,0.015879297628998756,0.013456479646265507,-0.0024228179827332497
box,topple,3,0.015884431079030037,0.012394559569656849,-0.003489871509373188
box,topple,4,0.016197631135582924,0.013998404145240784,-0.00219922699034214
cup,static,0,0.10436252504587173,0.11380509287118912,0.009442567825317383
cup,static,1,0.10345834493637085,0.11637271195650101,0.012914367020130157
cup,static,2,0.10209944099187851,0.11611941456794739,0.014019973576068878
cup,static,3,0.10778970271348953,0.10998663306236267,0.0021969303488731384
cup,static,4,0.10536551475524902,0.11416979879140854,0.008804284036159515
cup,push,0,0.015503608621656895,0.016106000170111656,0.0006023915484547615
cup,push,1,0.016464320942759514,0.017403574660420418,0.0009392537176609039
cup,push,2,0.015875862911343575,0.015664733946323395,-0.00021112896502017975
cup,push,3,0.015734238550066948,0.014877136796712875,-0.0008571017533540726
cup,push,4,0.017569968476891518,0.016171995550394058,-0.0013979729264974594
cup,pull,0,0.01618470996618271,0.01438172161579132,-0.001802988350391388
cup,pull,1,0.016341423615813255,0.01360160019248724,-0.0027398234233260155
cup,pull,2,0.015004354529082775,0.014149151742458344,-0.0008552027866244316
cup,pull,3,0.016457105055451393,0.013799242675304413,-0.0026578623801469803
cup,pull,4,0.015438497066497803,0.013948836363852024,-0.0014896607026457787
cup,lift,0,0.02228991687297821,0.018354080617427826,-0.0039358362555503845
cup,lift,1,0.020139994099736214,0.01977069303393364,-0.00036930106580257416
cup,lift,2,0.02073831856250763,0.02122640423476696,0.00048808567225933075
cup,lift,3,0.021156879141926765,0.0186623465269804,-0.0024945326149463654
cup,lift,4,0.020702587440609932,0.02001684345304966,-0.0006857439875602722
cup,topple,0,0.015616417862474918,0.012354782782495022,-0.0032616350799798965
cup,topple,1,0.016115747392177582,0.012698866426944733,-0.003416880965232849
cup,topple,2,0.01471956167370081,0.0129014253616333,-0.0018181363120675087
cup,topple,3,0.015894964337348938,0.012733320705592632,-0.0031616436317563057
cup,topple,4,0.01634039543569088,0.01294710859656334,-0.0033932868391275406
bowl,static,0,0.10530044883489609,0.11327189952135086,0.007971450686454773
bowl,static,1,0.10797443985939026,0.11867386847734451,0.010699428617954254
bowl,static,2,0.10384193807840347,0.11552062630653381,0.01167868822813034
bowl,static,3,0.10261079668998718,0.11402577906847,0.011414982378482819
bowl,static,4,0.10385721921920776,0.1150829866528511,0.011225767433643341
bowl,push,0,0.016251152381300926,0.015328560955822468,-0.0009225914254784584
bowl,push,1,0.015575000084936619,0.01557428389787674,-7.16187059879303e-07
bowl,push,2,0.01523242425173521,0.015249303542077541,1.6879290342330933e-05
bowl,push,3,0.016603777185082436,0.015545002184808254,-0.0010587750002741814
bowl,push,4,0.016839774325489998,0.015096873044967651,-0.0017429012805223465
bowl,pull,0,0.015415956266224384,0.013894529081881046,-0.001521427184343338
bowl,pull,1,0.014915749430656433,0.014183479361236095,-0.0007322700694203377
bowl,pull,2,0.01653883419930935,0.014046388678252697,-0.002492445521056652
bowl,pull,3,0.014940724708139896,0.013592739589512348,-0.0013479851186275482
bowl,pull,4,0.014165389351546764,0.013730603270232677,-0.0004347860813140869
bowl,lift,0,0.02141023427248001,0.0191259253770113,-0.002284308895468712
bowl,lift,1,0.02036048285663128,0.019633878022432327,-0.0007266048341989517
bowl,lift,2,0.020617354661226273,0.02052554115653038,-9.181350469589233e-05
bowl,lift,3,0.020112253725528717,0.020326299592852592,0.00021404586732387543
bowl,lift,4,0.02130969613790512,0.01991979591548443,-0.0013899002224206924
bowl,topple,0,0.015963518992066383,0.012504908256232738,-0.003458610735833645
bowl,topple,1,0.016106292605400085,0.012946357019245625,-0.003159935586154461
bowl,topple,2,0.015185284428298473,0.012016627006232738,-0.003168657422065735
bowl,topple,3,0.014876357279717922,0.01242134626954794,-0.002455011010169983
bowl,topple,4,0.01563321426510811,0.012812040746212006,-0.002821173518896103
